table,fields...
employees,Alice,Smith,101,,alice.smith@company.com,2022-01-10,manager
employees,Bob,Johnson,102,,bob.johnson@company.com,2022-01-15,manager
employees,Carol,Williams,101,1,carol.williams@company.com,2022-02-01,teamlead
employees,David,Brown,101,1,david.brown@company.com,2022-02-02,teamlead
employees,Eve,Davis,102,2,eve.davis@company.com,2022-02-03,teamlead
employees,Frank,Miller,102,2,frank.miller@company.com,2022-02-04,teamlead
employees,Grace,Moore,101,3,grace.moore@company.com,2022-03-01,employee
employees,Hank,Taylor,101,3,hank.taylor@company.com,2022-03-02,employee
employees,Ivy,Anderson,101,3,ivy.anderson@company.com,2022-03-03,employee
employees,Jack,Thomas,101,3,jack.thomas@company.com,2022-03-04,employee
employees,Kate,Jackson,101,4,kate.jackson@company.com,2022-03-05,employee
employees,Leo,White,101,4,leo.white@company.com,2022-03-06,employee
employees,Mia,Harris,101,4,mia.harris@company.com,2022-03-07,employee
employees,Nina,Martin,101,4,nina.martin@company.com,2022-03-08,employee
employees,Oscar,Lee,102,5,oscar.lee@company.com,2022-03-09,employee
employees,Pam,Walker,102,5,pam.walker@company.com,2022-03-10,employee
employees,Quinn,Hall,102,5,quinn.hall@company.com,2022-03-11,employee
employees,Rita,Young,102,5,rita.young@company.com,2022-03-12,employee
employees,Sam,King,102,6,sam.king@company.com,2022-03-13,employee
employees,Tina,Scott,102,6,tina.scott@company.com,2022-03-14,employee
employees,Uma,Green,102,6,uma.green@company.com,2022-03-15,employee
employees,Vera,Baker,102,6,vera.baker@company.com,2022-03-16,employee
recognition_types,ecard
recognition_types,ecard_with_points
recognition_types,award
recognitions,3,1,3,2023-01-02T18:30:00Z,Recognition from 3 to 1,20,REJECTED
recognitions,1,1,4,2023-01-03T18:30:00Z,Recognition from 4 to 1,0,APPROVED
recognitions,2,1,5,2023-01-04T18:30:00Z,Recognition from 5 to 1,5,PENDING
recognitions,3,1,6,2023-01-05T18:30:00Z,Recognition from 6 to 1,25,REJECTED
recognitions,1,1,7,2023-01-06T18:30:00Z,Recognition from 7 to 1,0,APPROVED
recognitions,2,1,8,2023-01-07T18:30:00Z,Recognition from 8 to 1,10,PENDING
recognitions,3,1,9,2023-01-08T18:30:00Z,Recognition from 9 to 1,30,REJECTED
recognitions,1,1,10,2023-01-09T18:30:00Z,Recognition from 10 to 1,0,APPROVED
recognitions,2,1,11,2023-01-10T18:30:00Z,Recognition from 11 to 1,5,PENDING
recognitions,3,1,12,2023-01-11T18:30:00Z,Recognition from 12 to 1,20,REJECTED
recognitions,1,1,13,2023-01-12T18:30:00Z,Recognition from 13 to 1,0,APPROVED
recognitions,2,1,14,2023-01-13T18:30:00Z,Recognition from 14 to 1,10,PENDING
recognitions,3,1,15,2023-01-14T18:30:00Z,Recognition from 15 to 1,20,REJECTED
recognitions,1,1,16,2023-01-15T18:30:00Z,Recognition from 16 to 1,0,APPROVED
recognitions,2,1,17,2023-01-16T18:30:00Z,Recognition from 17 to 1,5,PENDING
recognitions,3,1,18,2023-01-17T18:30:00Z,Recognition from 18 to 1,25,REJECTED
recognitions,1,1,19,2023-01-18T18:30:00Z,Recognition from 19 to 1,0,APPROVED
recognitions,2,1,20,2023-01-19T18:30:00Z,Recognition from 20 to 1,10,PENDING
recognitions,3,1,21,2023-01-20T18:30:00Z,Recognition from 21 to 1,30,REJECTED
recognitions,1,1,22,2023-01-21T18:30:00Z,Recognition from 22 to 1,0,APPROVED
recognitions,2,2,1,2023-01-22T18:30:00Z,Recognition from 1 to 2,5,PENDING
recognitions,3,2,3,2023-01-23T18:30:00Z,Recognition from 3 to 2,20,REJECTED
recognitions,1,2,4,2023-01-24T18:30:00Z,Recognition from 4 to 2,0,APPROVED
recognitions,2,2,5,2023-01-25T18:30:00Z,Recognition from 5 to 2,10,PENDING
recognitions,3,2,6,2023-01-26T18:30:00Z,Recognition from 6 to 2,20,REJECTED
recognitions,1,2,7,2023-01-27T18:30:00Z,Recognition from 7 to 2,0,APPROVED
recognitions,2,2,8,2023-01-28T18:30:00Z,Recognition from 8 to 2,5,PENDING
recognitions,3,2,9,2023-01-29T18:30:00Z,Recognition from 9 to 2,25,REJECTED
recognitions,1,2,10,2023-01-30T18:30:00Z,Recognition from 10 to 2,0,APPROVED
recognitions,2,2,11,2023-01-31T18:30:00Z,Recognition from 11 to 2,10,PENDING
recognitions,3,2,12,2023-02-01T18:30:00Z,Recognition from 12 to 2,30,REJECTED
recognitions,1,2,13,2023-02-02T18:30:00Z,Recognition from 13 to 2,0,APPROVED
recognitions,2,2,14,2023-02-03T18:30:00Z,Recognition from 14 to 2,5,PENDING
recognitions,3,2,15,2023-02-04T18:30:00Z,Recognition from 15 to 2,20,REJECTED
recognitions,1,2,16,2023-02-05T18:30:00Z,Recognition from 16 to 2,0,APPROVED
recognitions,2,2,17,2023-02-06T18:30:00Z,Recognition from 17 to 2,10,PENDING
recognitions,3,2,18,2023-02-07T18:30:00Z,Recognition from 18 to 2,20,REJECTED
recognitions,1,2,19,2023-02-08T18:30:00Z,Recognition from 19 to 2,0,APPROVED
recognitions,2,2,20,2023-02-09T18:30:00Z,Recognition from 20 to 2,5,PENDING
recognitions,3,2,21,2023-02-10T18:30:00Z,Recognition from 21 to 2,25,REJECTED
recognitions,1,2,22,2023-02-11T18:30:00Z,Recognition from 22 to 2,0,APPROVED
recognitions,2,3,1,2023-02-12T18:30:00Z,Recognition from 1 to 3,10,PENDING
recognitions,3,3,2,2023-02-13T18:30:00Z,Recognition from 2 to 3,30,REJECTED
recognitions,1,3,4,2023-02-14T18:30:00Z,Recognition from 4 to 3,0,APPROVED
recognitions,2,3,5,2023-02-15T18:30:00Z,Recognition from 5 to 3,5,PENDING
recognitions,3,3,6,2023-02-16T18:30:00Z,Recognition from 6 to 3,20,REJECTED
recognitions,1,3,7,2023-02-17T18:30:00Z,Recognition from 7 to 3,0,APPROVED
recognitions,2,3,8,2023-02-18T18:30:00Z,Recognition from 8 to 3,10,PENDING
recognitions,3,3,9,2023-02-19T18:30:00Z,Recognition from 9 to 3,20,REJECTED
recognitions,1,3,10,2023-02-20T18:30:00Z,Recognition from 10 to 3,0,APPROVED
recognitions,2,3,11,2023-02-21T18:30:00Z,Recognition from 11 to 3,5,PENDING
recognitions,3,3,12,2023-02-22T18:30:00Z,Recognition from 12 to 3,25,REJECTED
recognitions,1,3,13,2023-02-23T18:30:00Z,Recognition from 13 to 3,0,APPROVED
recognitions,2,3,14,2023-02-24T18:30:00Z,Recognition from 14 to 3,10,PENDING
recognitions,3,3,15,2023-02-25T18:30:00Z,Recognition from 15 to 3,30,REJECTED
recognitions,1,3,16,2023-02-26T18:30:00Z,Recognition from 16 to 3,0,APPROVED
recognitions,2,3,17,2023-02-27T18:30:00Z,Recognition from 17 to 3,5,PENDING
recognitions,3,3,18,2023-02-28T18:30:00Z,Recognition from 18 to 3,20,REJECTED
recognitions,1,3,19,2023-03-01T18:30:00Z,Recognition from 19 to 3,0,APPROVED
recognitions,2,3,20,2023-03-02T18:30:00Z,Recognition from 20 to 3,10,PENDING
recognitions,3,3,21,2023-03-03T18:30:00Z,Recognition from 21 to 3,20,REJECTED
recognitions,1,3,22,2023-03-04T18:30:00Z,Recognition from 22 to 3,0,APPROVED
recognitions,2,4,1,2023-03-05T18:30:00Z,Recognition from 1 to 4,5,PENDING
recognitions,3,4,2,2023-03-06T18:30:00Z,Recognition from 2 to 4,25,REJECTED
recognitions,1,4,3,2023-03-07T18:30:00Z,Recognition from 3 to 4,0,APPROVED
recognitions,2,4,5,2023-03-08T18:30:00Z,Recognition from 5 to 4,10,PENDING
recognitions,3,4,6,2023-03-09T18:30:00Z,Recognition from 6 to 4,30,REJECTED
recognitions,1,4,7,2023-03-10T18:30:00Z,Recognition from 7 to 4,0,APPROVED
recognitions,2,4,8,2023-03-11T18:30:00Z,Recognition from 8 to 4,5,PENDING
recognitions,3,4,9,2023-03-12T18:30:00Z,Recognition from 9 to 4,20,REJECTED
recognitions,1,4,10,2023-03-13T18:30:00Z,Recognition from 10 to 4,0,APPROVED
recognitions,2,4,11,2023-03-14T18:30:00Z,Recognition from 11 to 4,10,PENDING
recognitions,3,4,12,2023-03-15T18:30:00Z,Recognition from 12 to 4,20,REJECTED
recognitions,1,4,13,2023-03-16T18:30:00Z,Recognition from 13 to 4,0,APPROVED
recognitions,2,4,14,2023-03-17T18:30:00Z,Recognition from 14 to 4,5,PENDING
recognitions,3,4,15,2023-03-18T18:30:00Z,Recognition from 15 to 4,25,REJECTED
recognitions,1,4,16,2023-03-19T18:30:00Z,Recognition from 16 to 4,0,APPROVED
recognitions,2,4,17,2023-03-20T18:30:00Z,Recognition from 17 to 4,10,PENDING
recognitions,3,4,18,2023-03-21T18:30:00Z,Recognition from 18 to 4,30,REJECTED
recognitions,1,4,19,2023-03-22T18:30:00Z,Recognition from 19 to 4,0,APPROVED
recognitions,2,4,20,2023-03-23T18:30:00Z,Recognition from 20 to 4,5,PENDING
recognitions,3,4,21,2023-03-24T18:30:00Z,Recognition from 21 to 4,20,REJECTED
recognitions,1,4,22,2023-03-25T18:30:00Z,Recognition from 22 to 4,0,APPROVED
recognitions,2,5,1,2023-03-26T18:30:00Z,Recognition from 1 to 5,10,PENDING
recognitions,3,5,2,2023-03-27T18:30:00Z,Recognition from 2 to 5,20,REJECTED
recognitions,1,5,3,2023-03-28T18:30:00Z,Recognition from 3 to 5,0,APPROVED
recognitions,2,5,4,2023-03-29T18:30:00Z,Recognition from 4 to 5,5,PENDING
recognitions,3,5,6,2023-03-30T18:30:00Z,Recognition from 6 to 5,25,REJECTED
recognitions,1,5,7,2023-03-31T18:30:00Z,Recognition from 7 to 5,0,APPROVED
recognitions,2,5,8,2023-04-01T18:30:00Z,Recognition from 8 to 5,10,PENDING
recognitions,3,5,9,2023-04-02T18:30:00Z,Recognition from 9 to 5,30,REJECTED
recognitions,1,5,10,2023-04-03T18:30:00Z,Recognition from 10 to 5,0,APPROVED
recognitions,2,5,11,2023-04-04T18:30:00Z,Recognition from 11 to 5,5,PENDING
